,Date,Open,High,Low,Close,Adj Close,Volume,Stock Ticker
87,2004-03-01,5.75,7.0033330000000005,5.668667,6.9326669999999995,3.597118,164533500,VEON
88,2004-04-01,6.866667,7.280667,5.866667,5.984,3.1048880000000003,142636500,VEON
89,2004-05-01,6.000667,6.7533330000000005,5.444667,6.15,3.19102,154789500,VEON
90,2004-06-01,6.026667,6.548,5.933333,6.43,3.336302,97030500,VEON
91,2004-07-01,6.43,6.43,5.32,5.83,3.024984,143143500,VEON
92,2004-08-01,5.8,6.582667,5.45,6.54,3.3933760000000004,146103000,VEON
93,2004-09-01,6.54,7.370667,6.5033330000000005,7.2533330000000005,3.7635,125607000,VEON
94,2004-10-01,7.3333330000000005,7.79,6.953333,7.6,3.9433730000000002,113338500,VEON
95,2004-11-01,7.5833330000000005,8.58,7.568,7.788,4.040921,107230000,VEON
96,2004-12-01,7.69,8.25,5.0,7.228,3.7503559999999996,371386500,VEON
97,2005-01-01,7.2,7.278,6.492,7.24,3.756582,120178500,VEON
98,2005-02-01,7.29,8.03,7.16,8.02,4.161298,89124000,VEON
99,2005-03-01,7.99,7.99,6.76,6.884,3.5718660000000004,80973000,VEON
100,2005-04-01,6.98,7.552,6.468,6.544,3.3954519999999997,87629000,VEON
101,2005-05-01,6.58,7.47,6.34,7.408,3.843751,123162000,VEON
102,2005-06-01,7.408,7.43,6.562,6.806,3.531396,104006000,VEON
103,2005-07-01,6.88,7.862,6.872,7.676,3.9828069999999998,66028500,VEON
104,2005-08-01,7.66,8.38,7.57,8.246,4.27856,80122500,VEON
105,2005-09-01,8.254,9.234,8.24,8.888,4.611671,102397500,VEON
106,2005-10-01,8.92,8.97,7.504,8.0,4.150919,75466000,VEON
107,2005-11-01,8.03,9.188,7.968,9.066,4.704029,74861000,VEON
108,2005-12-01,9.14,9.522,8.51,8.846,4.58988,53875500,VEON
109,2006-01-01,8.848,10.2,8.83,9.36,4.856575,75019500,VEON
110,2006-02-01,9.396,9.504,8.62,8.8,4.566012000000001,65883000,VEON
111,2006-03-01,8.822,9.276,8.326,8.602,4.4632760000000005,113682500,VEON
112,2006-04-01,8.644,9.548,8.504,9.31,4.830633,71313000,VEON
